Score,# of Iterations,,,,,,,,,,,
Random Search Algorithms,50,100,500,1000,2000,5000,7500,10000,12000,15000,20000,25000
Randomized Hill Climbing,55,63,77,80,80,80,80,80,80,80,80,80
Simulated Annealing,44,42,79,80,80,80,80,80,80,80,80,80
Genetic Algorithm ,52,53,53,45,50,42,46,42,42,46,48,51
,,,,,,,,,,,,
,,,,,,,,,,,,
Training Time,# of Iterations,,,,,,,,,,,
Random Search Algorithms,50,100,500,1000,2000,5000,7500,10000,12000,15000,20000,25000
Randomized Hill Climbing,0,0,1,1,3,1,1,5,1,2,3,3
Simulated Annealing,0,0,1,2,1,2,4,7,4,5,8,11
Genetic Algorithm,15,9,21,41,54,139,182,258,270,334,448,556